data;p_soja
13/03/2006;27.66
14/03/2006;27.45
15/03/2006;27.58
16/03/2006;26.97
17/03/2006;26.96
20/03/2006;27.36
21/03/2006;27.55
22/03/2006;27.84
23/03/2006;27.82
24/03/2006;27.91
27/03/2006;28.48
28/03/2006;28.7
29/03/2006;28.69
30/03/2006;28.33
31/03/2006;27.54
03/04/2006;26.96
04/04/2006;26.57
05/04/2006;26.6
06/04/2006;26.79
07/04/2006;26.76
10/04/2006;26.74
11/04/2006;26.8
12/04/2006;26.74
13/04/2006;26.82
17/04/2006;27.28
18/04/2006;27.26
19/04/2006;27.1
20/04/2006;27.04
24/04/2006;27.33
25/04/2006;27.44
26/04/2006;27.32
27/04/2006;27.15
28/04/2006;27.67
02/05/2006;27.59
03/05/2006;27.58
04/05/2006;27.82
05/05/2006;27.76
08/05/2006;27.28
09/05/2006;27.86
10/05/2006;28.13
11/05/2006;28.36
12/05/2006;28.88
15/05/2006;28.83
16/05/2006;28.3
17/05/2006;29.03
18/05/2006;29.05
19/05/2006;28.61
22/05/2006;29.4
23/05/2006;29.23
24/05/2006;30.26
25/05/2006;29.63
26/05/2006;29.04
29/05/2006;28.74
30/05/2006;30.14
31/05/2006;29.5
01/06/2006;29.28
02/06/2006;29.97
05/06/2006;30.02
06/06/2006;29.84
09/06/2006;29.3
12/06/2006;30
13/06/2006;30.26
14/06/2006;29.88
16/06/2006;29.84
19/06/2006;28.94
20/06/2006;29.18
21/06/2006;29.19
22/06/2006;29.25
23/06/2006;29.19
26/06/2006;28.55
27/06/2006;28.76
28/06/2006;29.16
29/06/2006;29.04
30/06/2006;29.17
03/07/2006;29.39
04/07/2006;29.57
05/07/2006;29.46
06/07/2006;29.9
07/07/2006;29.49
10/07/2006;29.54
11/07/2006;30.08
12/07/2006;29.74
13/07/2006;29.76
14/07/2006;29.9
17/07/2006;29.42
18/07/2006;29.51
19/07/2006;29.35
20/07/2006;29.38
21/07/2006;29.35
24/07/2006;29.37
25/07/2006;29.95
26/07/2006;30.14
27/07/2006;29.5
28/07/2006;29.49
31/07/2006;29.3
01/08/2006;29.27
02/08/2006;29.83
03/08/2006;29.56
04/08/2006;29.76
07/08/2006;29.15
08/08/2006;29.14
09/08/2006;29.01
10/08/2006;29.05
11/08/2006;29.01
14/08/2006;29.03
15/08/2006;28.95
16/08/2006;28.56
17/08/2006;28.57
18/08/2006;28.49
21/08/2006;28.49
22/08/2006;28.37
23/08/2006;28.82
24/08/2006;28.89
25/08/2006;28.66
28/08/2006;28.37
29/08/2006;28.5
30/08/2006;28.71
31/08/2006;28.8
01/09/2006;28.65
04/09/2006;28.58
05/09/2006;28.69
06/09/2006;28.89
08/09/2006;29.03
11/09/2006;28.84
12/09/2006;28.79
13/09/2006;29.08
14/09/2006;28.82
15/09/2006;28.87
18/09/2006;28.84
19/09/2006;28.86
20/09/2006;29.33
21/09/2006;29.54
22/09/2006;29.58
25/09/2006;29.47
26/09/2006;29.38
27/09/2006;29.47
28/09/2006;29.65
29/09/2006;29.62
02/10/2006;29.66
03/10/2006;30.04
04/10/2006;30.55
05/10/2006;30.66
06/10/2006;30.37
09/10/2006;31
10/10/2006;30.98
11/10/2006;31.09
13/10/2006;30.99
16/10/2006;31.05
17/10/2006;31.86
18/10/2006;32.94
19/10/2006;33.39
20/10/2006;33.69
23/10/2006;33.6
24/10/2006;33.7
25/10/2006;33.64
26/10/2006;33.89
27/10/2006;33.78
30/10/2006;34.08
31/10/2006;33.69
01/11/2006;33.56
03/11/2006;33.75
06/11/2006;33.8
07/11/2006;33.52
08/11/2006;34.06
09/11/2006;34.24
10/11/2006;34.17
13/11/2006;34.06
14/11/2006;34.18
16/11/2006;34.38
17/11/2006;34.5
20/11/2006;34.69
21/11/2006;35.08
22/11/2006;35
23/11/2006;35.04
24/11/2006;35.04
27/11/2006;34.73
28/11/2006;34.71
29/11/2006;34.5
30/11/2006;34.42
01/12/2006;34.35
04/12/2006;33.67
05/12/2006;33.4
06/12/2006;33.63
07/12/2006;32.83
08/12/2006;33.06
11/12/2006;33.14
12/12/2006;33.12
13/12/2006;32.87
14/12/2006;33.25
15/12/2006;33.33
18/12/2006;33.38
19/12/2006;33
20/12/2006;33.17
21/12/2006;33.2
22/12/2006;33
26/12/2006;33.5
27/12/2006;33.57
28/12/2006;33.5
02/01/2007;34
03/01/2007;33.5
04/01/2007;33.67
05/01/2007;33.67
08/01/2007;33.78
09/01/2007;33.58
10/01/2007;33.16
11/01/2007;33.3
12/01/2007;33.2
15/01/2007;33.5
16/01/2007;33.82
17/01/2007;34.1
18/01/2007;34.1
19/01/2007;34.1
22/01/2007;33.6
23/01/2007;33.91
24/01/2007;33.59
25/01/2007;33.51
26/01/2007;33.46
29/01/2007;33.64
30/01/2007;33.64
31/01/2007;34.05
01/02/2007;33.77
02/02/2007;33.72
05/02/2007;34.01
06/02/2007;33.94
07/02/2007;34.05
08/02/2007;34.18
